address_450k	address_EPIC
10622451	31661197
10648495	16703991
10654345	34750968
10696470	31632931
10789509	96704821
11617302	62641178
11628349	54801906
11654412	93630951
11697340	65607256
11711409	1777132
11712436	NA
11714368	21805963
11746312	81708952
11750342	36749295
11751488	31786208
12625304	16731280
12703494	96629417
12714403	56620596
12740332	99612394
12771357	26784586
13605382	91799588
13613334	90702901
13617304	25656229
13619412	NA
13630449	99705594
13642393	4672421
13711423	24641838
13748334	88794531
14622465	84632581
14769376	56712235
14806497	87700258
15635405	37617245
15642443	38757861
15651360	34750224
15665335	81742542
15707438	13629839
15740507	84747210
15748350	99628449
15751452	96763146
15806372	21701557
16650456	NA
16795360	41725965
16807466	76656249
17621345	87787191
17623494	25704855
17644427	11661137
17739397	52660939
18639486	98805173
18737371	73605286
18796328	61801874
19613468	83629844
19654492	15772250
19710375	37692267
19740310	72754147
19761497	84805353
19801466	37783928
19810485	59755853
20624474	48781274
20638387	53644579
20663453	50767294
20686488	16644152
20699401	28802281
20806326	4691405
21606393	58634875
21608398	62671216
21633310	31784274
21638446	60720288
21660465	41644526
22601400	74644273
22609376	43783176
22644357	NA
22661312	2604457
22681417	76650465
22683413	99791522
22687484	63804872
22733482	80753528
22737339	9731876
22788456	NA
22794363	97768454
22795365	42688930
22806399	53621145
23614475	93662444
23632464	55653201
23759362	NA
23759375	4800223
23793421	56780575
24624460	29783164
24667500	51721846
24684377	3637210
24755409	47643935
25614367	63802292
25633361	28790876
25638401	91662838
25656446	44705985
25698376	5620134
25750454	85706333
25769383	90655411
25775378	48669957
26644354	2729380
27601486	23801961
27627360	35785292
27690346	NA
27758434	7781161
27766376	95735308
27767436	13634126
28605469	68799155
28667385	81620416
28727411	28759548
28773498	81687111
29605370	25683298
29605423	60648887
29615508	35693297
29627504	25691590
29699349	2705862
29807313	32768584
30630453	6650432
30660451	15728864
30718329	NA
30770488	95768124
30772474	NA
31641315	NA
31652441	50684165
31694485	35636179
31716418	61764115
32653332	93796968
32678396	53737564
32682418	NA
33622366	54761939
33709306	96759444
33709340	56699184
33735343	32688135
33780375	67603150
33793320	11655567
34619331	24692922
34623444	14748886
34623456	16724597
34640363	42743190
34643354	NA
34654455	64650893
34674300	3610213
34683307	NA
34701501	35760169
34762369	43702914
34766463	NA
34768413	63782162
34784503	NA
35651317	NA
35693508	34731194
35700356	31772831
35725439	52769137
35740361	4621859
35765341	81669159
36642444	8650537
36689314	29668574
36707408	56772855
36722350	84663101
36722353	97742212
36725477	63603926
37608508	NA
37640328	48608873
37652452	NA
37661486	36724943
37691369	66722846
37733313	8697175
37773346	21628931
37774439	45677974
37794466	44702915
38615313	71775893
38748479	73686986
38755375	24713299
38770459	29641529
38793327	8651864
39605354	7768352
39615340	NA
39616423	81644474
39621311	NA
39668349	5760398
39699346	36661253
39778441	81605941
39810483	75767874
40623397	34627156
40643363	NA
40673414	33765162
40694391	59600205
40701313	54802236
40726406	86799561
40732307	85685123
40786373	50725254
40797414	3612455
41619481	94723313
41635319	77745366
41691475	18624220
41699391	63700836
41723482	85719334
41729336	87794335
41754500	54733187
41785364	70665828
41785446	NA
42802473	62607574
42802505	NA
42804332	71679185
43691474	97764429
43694408	77626420
43769491	71664245
43789505	88773406
44627385	33810520
44632436	68784584
44652497	60686101
44666333	NA
44687439	70659830
44784327	14650970
45699359	97689195
45703313	23808231
45739435	8600489
46637418	NA
46688434	2720323
46691371	14686132
46723333	75660111
46742382	82722371
47658312	4701978
47728375	60611206
47732431	9700328
47771383	7755949
47782333	65785923
47785439	51781132
48688403	73674220
48707486	98749931
48710462	61636147
48712372	11772973
48789496	76700477
49709439	20787261
49711327	91630821
49785319	88747148
50657379	81683961
50658388	4708270
51602319	30613902
51641422	64781266
51787484	39619527
52603452	3675120
52611375	54739910
52647442	37718872
52695345	96753852
52724359	35788566
52792426	75680461
53611503	51674579
53620332	NA
53636471	81611500
53728470	45743290
53774376	NA
53778327	79778584
53803508	17666137
54614350	23701963
54649345	24657166
54722337	57646126
54737359	88689878
54745409	88703881
54760445	79696145
54788302	8646125
54803402	43649857
55602361	64807947
55670471	13757906
56635348	NA
56643486	30608202
56695335	39650526
56744356	32776914
57641463	NA
58622419	9711989
58646349	46751166
58650494	57774137
58692423	89661264
58755382	NA
58763443	71763990
58767344	3776117
59624346	7754462
59665347	30618900
59700369	58752967
59701496	44640200
59708322	78686934
60600377	6648911
60645349	75646563
60684405	1693454
60694421	84762482
60753422	75776398
60781470	73632529
60800435	76684465
60802458	14604856
61602452	12777882
61607404	6742582
61609302	11761142
61692352	22608525
61723363	80805197
61809464	1761337
62700494	82626220
63605419	NA
63632376	NA
63633468	43660895
63641457	NA
63663495	78707557
63668399	23748976
63806300	2668318
64650332	59700157
64666446	NA
64668326	4763915
64759313	95601496
65647306	13735111
65694456	6759959
65740336	58778276
65746344	59808975
66634378	45690858
66711396	40664827
66730327	NA
66799373	3754590
66810376	63752909
67629487	28716841
67661509	59731886
67677478	50670937
68725369	96717133
68742407	7674534
69624401	19612254
69633374	2664310
69709392	NA
69751390	7700937
69767339	73797901
70663507	16729831
70698313	25716841
70715439	7610424
70750502	NA
70759471	60714280
71601380	NA
71620388	97747498
72744464	20784161
72767306	76687110
73632431	50740974
73675391	82803160
73751430	52660599
73768345	53746103
73802379	87654363
74604379	9616427
74617366	3728191
74678394	20771520
74729465	99712359
74742449	17606947
74780462	89724912
74791306	65700533

